probe_id,design,log_step_index,global_step,epoch,train_loss,grad_norm,learning_rate
onset_multi_horizon_lora_pilot_layer16,multi_horizon,1,10,0.0059,0.4863,11.41,0.0001
onset_multi_horizon_lora_pilot_layer16,multi_horizon,2,20,0.059,0.3167,2.991,9.471e-05
onset_multi_horizon_lora_pilot_layer16,multi_horizon,3,30,0.118,0.1163,2.833,8.882e-05
onset_multi_horizon_lora_pilot_layer16,multi_horizon,4,40,0.177,0.0838,0.2085,8.294e-05
onset_multi_horizon_lora_pilot_layer16,multi_horizon,5,50,0.236,0.1187,0.6647,7.706e-05
onset_multi_horizon_lora_pilot_layer16,multi_horizon,6,60,0.295,0.1172,0.8595,7.118e-05
onset_multi_horizon_lora_pilot_layer16,multi_horizon,7,70,0.354,0.05865,0.1359,6.529e-05
onset_multi_horizon_lora_pilot_layer16,multi_horizon,8,80,0.413,0.08782,0.1105,5.941e-05
onset_multi_horizon_lora_pilot_layer16,multi_horizon,9,90,0.472,0.05174,0.2007,5.353e-05
onset_multi_horizon_lora_pilot_layer16,multi_horizon,10,100,0.531,0.1028,0.209,4.765e-05
onset_multi_horizon_lora_pilot_layer16,multi_horizon,11,110,0.59,0.07832,0.2314,4.176e-05
onset_multi_horizon_lora_pilot_layer16,multi_horizon,12,120,0.649,0.05748,0.4475,3.588e-05
onset_multi_horizon_lora_pilot_layer16,multi_horizon,13,130,0.708,0.04919,0.1373,3e-05
onset_multi_horizon_lora_pilot_layer16,multi_horizon,14,140,0.767,0.06605,0.2942,2.412e-05
onset_multi_horizon_lora_pilot_layer16,multi_horizon,15,150,0.826,0.03436,0.1718,1.824e-05
onset_multi_horizon_lora_pilot_layer16,multi_horizon,16,160,0.885,0.06126,0.2694,1.235e-05
onset_multi_horizon_lora_pilot_layer16,multi_horizon,17,170,0.944,0.05107,0.1945,6.471e-06
onset_multi_horizon_lora_pilot_layer16,multi_horizon,18,180,1.0,0.04577,0.0774,5.882e-07
onset_probe_5_lora_pilot_layer16,probe_N,1,10,0.0059,0.4026,15.72,0.0001
onset_probe_5_lora_pilot_layer16,probe_N,2,20,0.059,0.2289,2.62,9.471e-05
onset_probe_5_lora_pilot_layer16,probe_N,3,30,0.118,0.07811,4.062,8.882e-05
onset_probe_5_lora_pilot_layer16,probe_N,4,40,0.177,0.07356,0.2337,8.294e-05
onset_probe_5_lora_pilot_layer16,probe_N,5,50,0.236,0.08629,0.6978,7.706e-05
onset_probe_5_lora_pilot_layer16,probe_N,6,60,0.295,0.09894,0.9761,7.118e-05
onset_probe_5_lora_pilot_layer16,probe_N,7,70,0.354,0.03493,0.1014,6.529e-05
onset_probe_5_lora_pilot_layer16,probe_N,8,80,0.413,0.05656,0.09688,5.941e-05
onset_probe_5_lora_pilot_layer16,probe_N,9,90,0.472,0.02796,0.2358,5.353e-05
onset_probe_5_lora_pilot_layer16,probe_N,10,100,0.531,0.07384,0.1725,4.765e-05
onset_probe_5_lora_pilot_layer16,probe_N,11,110,0.59,0.05265,0.2122,4.176e-05
onset_probe_5_lora_pilot_layer16,probe_N,12,120,0.649,0.0314,0.5782,3.588e-05
onset_probe_5_lora_pilot_layer16,probe_N,13,130,0.708,0.02191,0.09442,3e-05
onset_probe_5_lora_pilot_layer16,probe_N,14,140,0.767,0.03929,0.2512,2.412e-05
onset_probe_5_lora_pilot_layer16,probe_N,15,150,0.826,0.01486,0.1062,1.824e-05
onset_probe_5_lora_pilot_layer16,probe_N,16,160,0.885,0.02907,0.2185,1.235e-05
onset_probe_5_lora_pilot_layer16,probe_N,17,170,0.944,0.02823,0.1257,6.471e-06
onset_probe_5_lora_pilot_layer16,probe_N,18,180,1.0,0.02076,0.04769,5.882e-07
onset_probe_20_lora_pilot_layer16,probe_N,1,10,0.0059,0.4067,15.46,0.0001
onset_probe_20_lora_pilot_layer16,probe_N,2,20,0.059,0.255,2.458,9.471e-05
onset_probe_20_lora_pilot_layer16,probe_N,3,30,0.118,0.1271,3.922,8.882e-05
onset_probe_20_lora_pilot_layer16,probe_N,4,40,0.177,0.08194,0.514,8.294e-05
onset_probe_20_lora_pilot_layer16,probe_N,5,50,0.236,0.1309,0.8302,7.706e-05
onset_probe_20_lora_pilot_layer16,probe_N,6,60,0.295,0.1256,0.8222,7.118e-05
onset_probe_20_lora_pilot_layer16,probe_N,7,70,0.354,0.06357,0.2693,6.529e-05
onset_probe_20_lora_pilot_layer16,probe_N,8,80,0.413,0.1096,0.1727,5.941e-05
onset_probe_20_lora_pilot_layer16,probe_N,9,90,0.472,0.04981,0.4728,5.353e-05
onset_probe_20_lora_pilot_layer16,probe_N,10,100,0.531,0.1217,0.3027,4.765e-05
onset_probe_20_lora_pilot_layer16,probe_N,11,110,0.59,0.08865,0.2465,4.176e-05
onset_probe_20_lora_pilot_layer16,probe_N,12,120,0.649,0.06439,0.5168,3.588e-05
onset_probe_20_lora_pilot_layer16,probe_N,13,130,0.708,0.05671,0.2427,3e-05
onset_probe_20_lora_pilot_layer16,probe_N,14,140,0.767,0.07862,0.7883,2.412e-05
onset_probe_20_lora_pilot_layer16,probe_N,15,150,0.826,0.03863,0.4603,1.824e-05
onset_probe_20_lora_pilot_layer16,probe_N,16,160,0.885,0.07419,0.5305,1.235e-05
onset_probe_20_lora_pilot_layer16,probe_N,17,170,0.944,0.05978,0.2919,6.471e-06
onset_probe_20_lora_pilot_layer16,probe_N,18,180,1.0,0.05372,0.1071,5.882e-07
onset_probe_50_lora_pilot_layer16,probe_N,1,10,0.0059,0.4151,14.93,0.0001
onset_probe_50_lora_pilot_layer16,probe_N,2,20,0.059,0.2882,2.235,9.471e-05
onset_probe_50_lora_pilot_layer16,probe_N,3,30,0.118,0.1913,4.021,8.882e-05
onset_probe_50_lora_pilot_layer16,probe_N,4,40,0.177,0.1155,0.3911,8.294e-05
onset_probe_50_lora_pilot_layer16,probe_N,5,50,0.236,0.1772,0.6604,7.706e-05
onset_probe_50_lora_pilot_layer16,probe_N,6,60,0.295,0.1647,0.872,7.118e-05
onset_probe_50_lora_pilot_layer16,probe_N,7,70,0.354,0.1054,0.4552,6.529e-05
onset_probe_50_lora_pilot_layer16,probe_N,8,80,0.413,0.1643,0.3909,5.941e-05
