layer,epoch,total_epochs,head,train_loss
16,3,30,probe_5,9.695044683782678
16,3,30,probe_20,6.318831462609141
16,3,30,probe_50,4.367791459748619
16,3,30,probe_100,3.5842191200507316
16,3,30,probe_200,3.1557779829753074
16,3,30,multi_horizon,44.98234999807257
16,6,30,probe_5,8.828412150081835
16,6,30,probe_20,5.716469041611019
16,6,30,probe_50,4.301766601048018
16,6,30,probe_100,3.6723641800253013
16,6,30,probe_200,3.033063664248115
16,6,30,multi_horizon,38.11496110966331
16,9,30,probe_5,7.876083621853276
16,9,30,probe_20,5.626790630189996
16,9,30,probe_50,4.634028331229561
16,9,30,probe_100,3.6206668050665605
16,9,30,probe_200,3.1380970289832666
16,9,30,multi_horizon,36.85143837175871
16,12,30,probe_5,7.872417280548497
16,12,30,probe_20,5.900766160927321
16,12,30,probe_50,4.551814871399026
16,12,30,probe_100,3.7215821476359117
16,12,30,probe_200,2.98647404187604
16,12,30,multi_horizon,35.0352108729513
16,15,30,probe_5,7.137240762773313
16,15,30,probe_20,6.306528532191327
16,15,30,probe_50,4.556782142112129
16,15,30,probe_100,3.6327619066363885
16,15,30,probe_200,3.132361263036728
16,15,30,multi_horizon,31.54849278299432
16,18,30,probe_5,7.361095364156522
16,18,30,probe_20,5.917153418064117
16,18,30,probe_50,4.79197096354083
16,18,30,probe_100,3.7906448150935925
16,18,30,probe_200,3.0182009198163686
16,18,30,multi_horizon,33.09709108503241
16,21,30,probe_5,7.24033060199336
16,21,30,probe_20,5.915414072965321
16,21,30,probe_50,4.631937492834894
16,21,30,probe_100,3.745543362278687
16,21,30,probe_200,3.1874094354478935
16,21,30,multi_horizon,34.3486507942802
16,24,30,probe_5,7.589824282809308
16,24,30,probe_20,6.119336899958159
16,24,30,probe_50,4.631416163946453
16,24,30,probe_100,4.000396596757989
16,24,30,probe_200,3.006327227542275
16,24,30,multi_horizon,37.84605283486216
16,27,30,probe_5,7.098831300672732
16,27,30,probe_20,6.0585690234836775
16,27,30,probe_50,4.6950387813543015
16,27,30,probe_100,3.7330862440560995
16,27,30,probe_200,3.41152338605178
16,27,30,multi_horizon,33.38825235868755
16,30,30,probe_5,7.0990004821827535
16,30,30,probe_20,6.511734927955427
16,30,30,probe_50,4.785976775382695
16,30,30,probe_100,3.71908153515113
16,30,30,probe_200,3.0626958545885588
16,30,30,multi_horizon,31.716529381902593
